"Fly ID"	"Light Intensity(uW/mm2)"	"Wind status"	"Satiety"	"Genotype"	"Status"	"weighted_TSALE_P10"
18	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
19	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
20	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.176156583629893
21	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
22	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.270462633451957
23	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.918149466192171
24	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
25	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.146797153024911
26	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.811387900355872
33	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.167259786476868
34	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
35	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
36	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.583629893238434
37	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.348754448398576
38	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.0916370106761566
39	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.626334519572954
40	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.357651245551601
41	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.943950177935943
42	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
43	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.0880782918149466
44	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.276690391459075
45	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
46	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.106761565836299
47	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
48	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
49	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.0293594306049822
50	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.951067615658363
51	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.199288256227758
52	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.275800711743772
1	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.834519572953737
2	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.615658362989324
3	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.105871886120996
4	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.174377224199288
5	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.0302491103202847
6	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.204626334519573
7	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.290035587188612
8	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
9	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.0569395017793594
10	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
11	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
12	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.370106761565836
13	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.379003558718861
14	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.048932384341637
15	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.339857651245552
16	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.435943060498221
17	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.303380782918149
18	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.179715302491103
19	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.900355871886121
20	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.0604982206405694
21	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.25
22	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.259786476868327
23	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.983985765124555
24	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.397686832740213
25	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.160142348754448
26	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.879893238434164
33	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.204626334519573
34	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.135231316725979
35	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.491103202846975
36	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.644128113879004
37	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.0151245551601423
38	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.845195729537367
39	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.461743772241993
40	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
41	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.0293594306049822
42	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.297153024911032
43	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.48576512455516
44	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
45	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.626334519572954
46	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.122775800711744
47	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.0791814946619217
48	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.0782918149466192
49	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.79982206405694
50	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.0951957295373666
51	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.0836298932384342
52	"70uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.157473309608541
1	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
2	"70uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.887900355871886
