"Fly ID"	"Light Intensity(uW/mm2)"	"Wind status"	"Satiety"	"Genotype"	"Status"	"weighted_TSALE_P10"
48	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
49	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
50	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.0288713910761155
51	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.015748031496063
52	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
15	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.398950131233596
16	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.608923884514436
17	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.31758530183727
18	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
19	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
20	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
21	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
22	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
23	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
24	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
25	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
26	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
27	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
28	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
29	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
30	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
31	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
32	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
33	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.103674540682415
34	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
35	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
36	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
37	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
38	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.10498687664042
39	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
40	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
41	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
42	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
43	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.246719160104987
44	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.9750656167979
45	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
46	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
47	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
48	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.989501312335958
49	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
50	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.141732283464567
51	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
52	"28uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.465879265091864
15	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
16	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
17	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
18	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.861074705111402
19	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
20	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
21	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.870249017038008
22	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.719528178243775
23	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.956749672346003
24	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
25	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
26	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
27	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
28	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
29	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
30	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
31	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
32	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
33	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
34	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
35	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
36	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
37	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
38	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.174311926605505
39	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
40	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.166448230668414
41	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
42	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
43	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.0799475753604194
44	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
45	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.0170380078636959
46	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
47	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.45740498034076
48	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.952817824377457
49	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
50	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.171690694626474
51	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.347313237221494
52	"42uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
15	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.538057742782152
16	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.162729658792651
17	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.278215223097113
18	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
19	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
20	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.110236220472441
21	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
22	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.031496062992126
23	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
24	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
25	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
26	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
27	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.532808398950131
28	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
29	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
30	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.337270341207349
31	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
32	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
33	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
34	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.078740157480315
35	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.229658792650919
36	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.383202099737533
37	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
38	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.561679790026247
39	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.165354330708661
40	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
41	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
42	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
43	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.0433070866141732
44	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
45	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
46	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
47	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
48	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.312335958005249
49	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
50	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.376640419947507
51	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.720472440944882
52	"42uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
15	"56uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
